sample_size,rep,observed_correlation,p_value,significant,null_corr_threshold,null_corr_variance
6000,42,0.013805864656521573,0.2892,False,0.03577567457150093,0.00016962054800360063
6000,43,0.013862659737861613,0.2932,False,0.03651236769197188,0.00017019751179954399
6000,44,0.022647174599909482,0.0782,False,0.03683887845942656,0.00016765061818957148
6000,45,0.004620950425019972,0.7376,False,0.03524383174191487,0.00016302986327152496
6000,46,0.012924764190293989,0.3064,False,0.035902540257135726,0.00016131713306733223
6000,47,0.013335268156154446,0.3082,False,0.0360460851578153,0.00016711908160734756
6000,48,0.003201107239096375,0.8018,False,0.037544920783922964,0.00016775165083745712
6000,49,0.013204150878750107,0.301,False,0.035500024013140646,0.0001639069027163631
6000,50,0.012303627528536141,0.3322,False,0.036164232618145234,0.00016648190861652672
6000,51,0.01952131225288259,0.123,False,0.03635694526731564,0.00016698777727765647
6000,52,0.01149020225754442,0.375,False,0.03608345723565809,0.00016651582727401646
6000,53,0.004668586296802195,0.734,False,0.03600199583481855,0.00016673735064417575
6000,54,0.014939700158134454,0.2482,False,0.03582091752467065,0.0001645364202903981
6000,55,0.004440390807693026,0.729,False,0.035605111706756,0.0001684343236064246
6000,56,0.020229889994153732,0.1154,False,0.035655892870155276,0.00016787854229838816
6000,57,-0.0023859017958596466,0.8528,False,0.03642397864254092,0.00017107794147480613
6000,58,0.015786304079005407,0.215,False,0.03533219918703459,0.00016581664898729752
6000,59,0.0112633855617313,0.3824,False,0.036777441597965456,0.00016512679233285108
6000,60,-0.0005349835867599275,0.9592,False,0.03570829377632112,0.00016867060711838199
6000,61,0.007985728259900179,0.5254,False,0.03683704988779924,0.00016568697719000593
6000,62,-0.0010682880040545563,0.9252,False,0.03568607215043013,0.0001663663841743444
6000,63,0.013318315937997729,0.3166,False,0.03546603054478863,0.00016620126609023068
6000,64,0.019441309600409896,0.1362,False,0.03715964068848818,0.00016979147199458076
6000,65,-0.004091534156730013,0.751,False,0.03502472576443236,0.00016510701993832793
6000,66,0.006399213163213456,0.6422,False,0.03647998019923389,0.00016634952617336466
6000,67,0.014600533216859187,0.254,False,0.03564842417116944,0.00016772183657683622
6000,68,0.011272124834449193,0.3756,False,0.03554443905325423,0.00016343335717315948
6000,69,0.01903167541852832,0.137,False,0.03520015598814066,0.00016287662939365983
6000,70,0.01809676679300892,0.1622,False,0.03645126152231483,0.00016796838703236582
6000,71,0.018667874802105806,0.1512,False,0.0363163921461712,0.00016791275466178913
6000,72,0.02612091283963873,0.047,False,0.03596079323422327,0.00016852958167206048
6000,73,0.0069485112032939686,0.5988,False,0.0360999355636061,0.00016272858882452687
6000,74,0.006343635814371485,0.6214,False,0.03529247330676431,0.0001661239293741757
6000,75,0.01937630211378242,0.13,False,0.036296470386468514,0.00016619953573246743
6000,76,0.013475394272285522,0.3042,False,0.035690163306222045,0.00016800308425843195
6000,77,0.007259494633087473,0.563,False,0.03638295905559297,0.0001660651936942532
6000,78,-0.0012548720049766306,0.9106,False,0.03682543389286874,0.00016714517236249448
6000,79,0.013126900627738457,0.303,False,0.03677375969266153,0.00016860480074169839
6000,80,0.03004490943151324,0.0178,False,0.03525859773025978,0.0001622663812498491
6000,81,0.02364379357455826,0.0704,False,0.037041374494536414,0.0001701092863059445
6000,82,0.0013685489706458285,0.8916,False,0.0367029908481603,0.00016709610130652856
6000,83,0.001734577105724388,0.8874,False,0.03560816738280339,0.00016134503611110924
6000,84,0.014016109659057571,0.2738,False,0.03664748349385436,0.00016530364957659905
6000,85,0.005076968937681303,0.6926,False,0.035431705616458545,0.00016845909740620746
6000,86,0.01600786573044247,0.2124,False,0.03663687959048615,0.0001648041186354039
6000,87,0.003025810570800486,0.8076,False,0.036650593835526345,0.00016602081303255828
6000,88,0.002110439350513875,0.8904,False,0.03601594937777744,0.00016904432051741619
6000,89,0.005189110181633853,0.7054,False,0.03559691665093384,0.00016464438181991166
6000,90,0.006114520155289699,0.641,False,0.03555106954766107,0.00016661232165808394
6000,91,0.014552211085571455,0.261,False,0.03608357034501996,0.0001669538494674928
6000,92,0.026703149404007972,0.0374,False,0.03645252205783022,0.0001640422013456123
6000,93,-0.011046727048784509,0.3888,False,0.03657099822038248,0.00016681302928352114
6000,94,0.017211770913697477,0.1814,False,0.03649850125230441,0.0001682468344101214
6000,95,0.011733315072390798,0.38,False,0.03616563253392412,0.0001671647273083127
6000,96,0.016795175545922945,0.1914,False,0.036686803601615796,0.0001677204773883112
6000,97,0.024462418921294686,0.0624,False,0.036320193589303246,0.00017391559594705046
6000,98,0.014215141417924685,0.2708,False,0.03637818182425549,0.00016869571623802875
6000,99,0.012967886758787163,0.3106,False,0.03614096968369081,0.00016500547121949593
4000,0,0.0038622692450081433,0.823,False,0.04526782221835015,0.0002521334662278093
4000,1,-0.006558747006348173,0.6724,False,0.0443626501598427,0.0002462664481749157
4000,2,0.010203460004865784,0.5042,False,0.04550008418150388,0.0002485042390200815
4000,3,0.020635875427525652,0.1888,False,0.0438453012237194,0.00024653073235239245
4000,4,-0.003498292140612731,0.8254,False,0.04282621757844092,0.000246053073292457
4000,5,0.00621019131505617,0.6958,False,0.04330821780954473,0.00024369761515759798
4000,6,0.005993001977668578,0.6888,False,0.04444182341592155,0.0002461558020294178
4000,7,0.021336458684452726,0.186,False,0.04370321998797558,0.0002525163042659229
4000,8,0.022169414092481902,0.1536,False,0.0432156029764918,0.00024762124216113024
4000,9,0.004617876258313755,0.7808,False,0.04519339059851988,0.0002504363085938722
4000,10,0.006922569012713062,0.6664,False,0.04378063594099493,0.00024940594887767496
4000,11,0.005303774380707042,0.7476,False,0.044433661997448054,0.00025162798663471385
4000,12,0.030992041134492578,0.0556,False,0.045312422332444924,0.00026134254372993095
4000,13,0.024893905242818325,0.114,False,0.04429947874963002,0.0002498671805087591
4000,14,0.009988562194878748,0.5354,False,0.04572960031189398,0.0002544420026627234
4000,15,0.018915643135989656,0.2282,False,0.044335072037610945,0.00025306125694350603
4000,16,0.020061337362916116,0.191,False,0.04411607245573242,0.000240502508416245
4000,17,0.038902612083158074,0.0154,False,0.0451667724324114,0.0002549891223228758
